rank,cluster_id,size,top_8_units,avg_place,winrate,top4_rate,frequency
51,83,159,"Carry_Jinx, Carry_Varus, Carry_Poppy, Neeko, Rell, Ahri, Syndra, Seraphine",4.43,6.9%,52.8%,0.2%
52,101,198,"Carry_Volibear, Carry_Yone, Samira, Yasuo, Shen, Braum, Dr._Mundo, Sett",4.50,11.6%,48.0%,0.2%
53,18,1007,"Carry_Ryze, Carry_Yone, Galio, JarvanIV, Udyr, Kobuko, Yasuo, Senna",4.51,8.5%,50.8%,1.2%
54,20,509,"Carry_Samira, Carry_Xin_Zhao, Naafiri, Lux, Sett, Viego, Carry_Gwen, Kalista",4.51,11.2%,49.7%,0.6%
55,97,1209,"Carry_Karma, Carry_Swain, Lucian, Galio, JarvanIV, Lux, Gwen, Ryze",4.53,12.9%,47.2%,1.4%
56,16,125,"Carry_s3star_Kayle, Carry_Udyr, Zac, Aatrox, Dr._Mundo, Lee_Sin, Naafiri, Sett",4.54,16.0%,47.2%,0.1%
57,184,232,"Carry_s3star_Katarina, Carry_Jayce, Garen, Carry_Leona, Rakan, Carry_Yuumi, Ezreal, Ryze",4.55,7.8%,52.6%,0.3%
58,38,643,"Swain, Carry_Karma, Carry_Ahri, Lucian, Galio, JarvanIV, Lux, Ryze",4.56,10.9%,46.5%,0.8%
59,76,57,"Carry_Zyra, Carry_Gwen, Carry_Sett, Xin_Zhao, Naafiri, Samira, Lux, Viego",4.56,15.8%,45.6%,0.1%
60,192,136,"Carry_Swain, Carry_Zyra, JarvanIV, Karma, Gwen, Galio, Lucian, Lux",4.56,15.4%,47.1%,0.2%
61,49,805,"Carry_Akali, Carry_Ryze, JarvanIV, Carry_K'Sante, Janna, Kennen, Neeko, Varus",4.58,8.1%,48.5%,1.0%
62,24,1787,"Carry_Akali, Carry_K'Sante, Carry_JarvanIV, Kennen, Ryze, Janna, Neeko, Varus",4.59,10.0%,49.4%,2.1%
63,188,324,"Carry_Neeko, Carry_K'Sante, Janna, Kennen, Ryze, JarvanIV, Akali, Rakan",4.60,6.8%,48.5%,0.4%
64,54,240,"Carry_K'Sante, Carry_Varus, Neeko, Jhin, Kennen, Janna, JarvanIV, Akali",4.63,11.2%,51.7%,0.3%
65,90,358,"Carry_s3star_Viego, Udyr, Carry_Ashe, s3star_Gangplank, Sett, Kai'Sa, Lee_Sin, Kayle",4.68,10.6%,45.2%,0.4%
66,80,254,"Carry_Jayce, Carry_Yuumi, Ezreal, Garen, Carry_Leona, Rakan, Seraphine, Malzahar",4.70,8.7%,46.5%,0.3%
67,190,857,"Carry_s3star_Smolder, Carry_Neeko, Janna, Rakan, Kennen, K'Sante, Malphite, JarvanIV",4.71,12.6%,45.9%,1.0%
68,48,562,"Carry_s3star_Rakan, Carry_s3star_Katarina, Garen, Ezreal, Jayce, Leona, Ryze, Yuumi",4.72,10.7%,46.3%,0.7%
69,170,33,"Carry_s3star_Darius, Carry_s3star_Smolder, Jayce, Kobuko, Carry_Poppy, Zac, Aatrox, Akali",4.73,3.0%,48.5%,0.0%
70,21,2938,"Carry_Poppy, Carry_Ahri, Neeko, Rell, Carry_Jinx, Syndra, Xayah, Seraphine",4.75,8.2%,43.4%,3.5%
71,166,904,"Carry_Udyr, Carry_Ashe, Sett, s3star_Viego, Gangplank, Lee_Sin, Kai'Sa, Vi",4.77,9.6%,43.7%,1.1%
72,173,315,"Carry_Jinx, Carry_K'Sante, Neeko, Poppy, Jhin, Varus, Rell, Ahri",4.77,7.0%,46.4%,0.4%
73,1,2960,"Carry_Sett, Carry_Samira, Xin_Zhao, Naafiri, Lux, Viego, Kalista, Gwen",4.80,6.5%,42.7%,3.5%
74,146,91,"Carry_s3star_Kennen, Carry_s3star_Rakan, Janna, Malphite, Neeko, Darius, K'Sante, Akali",4.80,6.6%,45.0%,0.1%
75,84,90,"Carry_Ezreal, Carry_s3star_Katarina, Garen, Rakan, Jayce, Leona, Carry_Yuumi, Ryze",4.81,14.4%,48.9%,0.1%
76,29,115,"Carry_Akali, Carry_Darius, Kennen, K'Sante, Ryze, JarvanIV, Janna, Neeko",4.89,7.8%,44.4%,0.1%
77,71,38,"Carry_Kobuko, Udyr, Carry_Ryze, Carry_Yasuo, Aatrox, Galio, Senna, JarvanIV",4.89,5.3%,42.1%,0.0%
78,52,150,"Carry_s3star_Dr._Mundo, Carry_s3star_Vi, Udyr, Sett, Naafiri, Carry_Ashe, Aatrox, Zyra",4.93,7.3%,41.3%,0.2%
79,36,593,"Carry_Janna, Rakan, Carry_Neeko, Kennen, Malphite, K'Sante, s3star_Smolder, JarvanIV",4.94,8.4%,41.8%,0.7%
80,156,412,"Carry_Udyr, Carry_Ryze, Yasuo, Kobuko, JarvanIV, Galio, Senna, Aatrox",4.95,4.8%,42.0%,0.5%
81,196,80,"Carry_Volibear, Carry_Gwen, Yone, Xin_Zhao, Ryze, Galio, Karma, JarvanIV",4.95,11.2%,40.0%,0.1%
82,110,63,"Carry_s3star_Shen, Carry_Volibear, s3star_Xayah, Xin_Zhao, Rell, Samira, Yasuo, Leona",4.97,11.1%,34.9%,0.1%
83,15,427,"Carry_Caitlyn, Carry_Leona, Garen, Jayce, Yuumi, Ezreal, Rakan, Jinx",4.98,5.8%,39.8%,0.5%
84,5,2917,"Carry_g3star_Malphite, Carry_g3star_Sivir, s3star_Shen, Carry_s3star_Ziggs, Janna, JarvanIV, Ryze, Twisted_Fate",4.99,10.3%,40.1%,3.5%
85,140,34,"Carry_Leona, Carry_Karma, Swain, Carry_Gwen, Lucian, Lux, JarvanIV, Galio",5.00,8.8%,44.1%,0.0%
86,26,208,"Carry_s3star_Kai'Sa, Carry_Akali, Carry_s3star_Darius, Udyr, Kobuko, Kennen, Yasuo, Ryze",5.01,5.3%,40.9%,0.2%
87,200,33,"Carry_s3star_Zac, Carry_Malzahar, Jhin, K'Sante, Carry_Varus, Poppy, Kayle, Neeko",5.03,6.1%,42.4%,0.0%
88,7,310,"Carry_s3star_Smolder, Carry_Udyr, Sett, Dr._Mundo, Naafiri, Vi, Aatrox, Lee_Sin",5.07,7.1%,38.4%,0.4%
89,98,82,"Carry_Kobuko, Carry_s3star_Darius, Carry_Kai'Sa, Akali, Jayce, Kennen, Aatrox, Poppy",5.10,3.7%,41.5%,0.1%
90,189,314,"Carry_s3star_Darius, Carry_Udyr, Kai'Sa, Kobuko, Yasuo, Akali, Ryze, Kennen",5.10,6.7%,37.3%,0.4%
91,187,244,"Carry_Ahri, Carry_Swain, Rell, Neeko, Poppy, Syndra, Jinx, Xayah",5.11,5.3%,38.9%,0.3%
92,62,26,"Carry_s3star_Gnar, Carry_Volibear, Dr._Mundo, Sett, Shen, Braum, Samira, Yasuo",5.12,11.5%,30.8%,0.0%
93,87,463,"Carry_g3star_Kayle, Carry_s3star_Aatrox, Carry_s3star_Zac, Udyr, Naafiri, Dr._Mundo, Sett, Vi",5.14,11.4%,33.3%,0.6%
94,78,463,"Carry_Ashe, Carry_Sett, Udyr, Vi, Dr._Mundo, Naafiri, Lee_Sin, Aatrox",5.16,6.0%,38.2%,0.6%
95,57,148,"Carry_Twisted_Fate, Carry_Yone, Braum, Gwen, Volibear, Zyra, Sett, Swain",5.17,10.8%,35.1%,0.2%
96,91,82,"Carry_Ryze, Carry_Braum, JarvanIV, Galio, Yone, Karma, Gwen, Volibear",5.17,7.3%,35.4%,0.1%
97,73,401,"Carry_s3star_Darius, Carry_s3star_Jayce, Kobuko, Poppy, Kai'Sa, Akali, Aatrox, Zac",5.19,4.5%,37.4%,0.5%
98,144,245,"Carry_Udyr, Carry_s3star_Viego, s3star_Gangplank, Sett, Ashe, Kai'Sa, Kayle, Lee_Sin",5.19,6.9%,36.3%,0.3%
99,142,35,"Carry_g3star_Kai'Sa, Carry_s3star_Gangplank, Udyr, Viego, Ashe, Sett, Darius, Kayle",5.20,2.9%,40.0%,0.0%
100,46,1729,"Carry_Malzahar, Carry_Yuumi, Ezreal, Rakan, Carry_Leona, Garen, Syndra, K'Sante",5.22,4.2%,34.9%,2.1%
101,61,51,"Carry_K'Sante, Carry_Karma, Carry_JarvanIV, Galio, Kennen, Lucian, Swain, Ryze",5.22,15.7%,35.3%,0.1%
102,0,210,"Carry_s3star_Xayah, Carry_s3star_Shen, Rell, Xin_Zhao, Yasuo, Leona, Samira, Swain",5.30,1.9%,31.4%,0.3%
103,72,82,"Carry_s3star_Rammus, Carry_s3star_Malzahar, Ezreal, K'Sante, Syndra, Yuumi, Rakan, Seraphine",5.32,9.8%,32.9%,0.1%
104,171,112,"Carry_s3star_Jhin, Carry_s3star_Dr._Mundo, Gnar, Vi, Udyr, Sett, Jinx, Aatrox",5.32,1.8%,33.0%,0.1%
105,155,104,"Carry_s3star_Ezreal, Carry_s3star_Garen, Rakan, Leona, Jayce, Yuumi, Katarina, Caitlyn",5.38,3.9%,29.8%,0.1%
106,14,120,"Carry_s3star_Shen, Carry_s3star_Xin_Zhao, Rell, Swain, Leona, Xayah, Garen, Yasuo",5.40,2.5%,33.3%,0.1%
107,162,216,"Carry_g3star_Kayle, Carry_s3star_Naafiri, Carry_s3star_Zac, Aatrox, Udyr, Dr._Mundo, Sett, Vi",5.40,7.9%,30.6%,0.3%
108,79,94,"Carry_g3star_Malphite, Carry_s3star_Janna, Carry_g3star_Sivir, s3star_Shen, s3star_Ziggs, JarvanIV, Ryze, Twisted_Fate",5.41,9.6%,35.1%,0.1%
109,88,255,"Carry_Yasuo, Carry_Ryze, Kobuko, Udyr, JarvanIV, Galio, Senna, Aatrox",5.41,5.5%,33.3%,0.3%
110,114,74,"Carry_s3star_Rakan, Carry_Caitlyn, Garen, s3star_Katarina, Leona, Yuumi, Ezreal, Jayce",5.41,5.4%,31.1%,0.1%
111,86,219,"Carry_Gwen, Karma, Galio, JarvanIV, Ryze, Yone, Braum, Volibear",5.42,6.8%,35.2%,0.3%
112,25,190,"Carry_s3star_Kai'Sa, Carry_Udyr, Carry_s3star_Viego, Gangplank, Ashe, Sett, Kayle, Lee_Sin",5.43,5.8%,32.1%,0.2%
113,27,615,"Carry_Ashe, Carry_Zyra, Vi, Udyr, Dr._Mundo, Braum, Swain, Janna",5.43,7.5%,33.5%,0.7%
114,205,61,"Carry_Jhin, Carry_K'Sante, Zac, s3star_Kayle, Malzahar, Udyr, Varus, Aatrox",5.43,3.3%,32.8%,0.1%
115,60,57,"Carry_Gangplank, Carry_Karma, Carry_Galio, JarvanIV, Lucian, Aatrox, Senna, Ryze",5.44,10.5%,28.1%,0.1%
116,47,1276,"Carry_g3star_Kayle, Carry_s3star_Zac, Aatrox, Udyr, Naafiri, Dr._Mundo, Sett, Lee_Sin",5.46,8.5%,29.5%,1.5%
117,13,72,"Carry_Gangplank, Senna, Carry_Ryze, Galio, Carry_JarvanIV, Aatrox, Karma, Lucian",5.47,2.8%,27.8%,0.1%
118,44,595,"Carry_Karma, Galio, Carry_JarvanIV, Ryze, Lucian, Yone, Senna, Aatrox",5.47,4.7%,29.2%,0.7%
119,117,20,"Carry_Ahri, Carry_Gwen, Carry_Neeko, Rell, Poppy, Syndra, Jinx, Xayah",5.50,15.0%,25.0%,0.0%
120,106,39,"Carry_s3star_Rakan, Carry_g3star_Xayah, Neeko, Janna, K'Sante, Malphite, Kennen, Yasuo",5.51,0.0%,33.3%,0.0%
121,204,99,"Carry_s3star_Gangplank, Udyr, Carry_s3star_Viego, Kai'Sa, Ashe, Sett, Kayle, Lee_Sin",5.53,7.1%,34.3%,0.1%
122,19,104,"Carry_Janna, Carry_K'Sante, Neeko, Kennen, Rakan, JarvanIV, Malphite, Ryze",5.54,1.9%,32.7%,0.1%
123,53,56,"Carry_Jinx, Carry_Leona, Rell, Jhin, Garen, Gnar, Caitlyn, Braum",5.54,7.1%,25.0%,0.1%
124,82,405,"Carry_K'Sante, Carry_JarvanIV, Ryze, Janna, Kennen, Akali, Neeko, Varus",5.56,5.9%,30.6%,0.5%
125,28,157,"Carry_s3star_Katarina, Carry_s3star_Garen, Rakan, Ezreal, Jayce, Yuumi, Leona, Ryze",5.58,7.6%,27.4%,0.2%
126,96,107,"Carry_Malzahar, Carry_K'Sante, Zac, s3star_Kayle, Jhin, Neeko, Janna, Udyr",5.58,5.6%,29.0%,0.1%
127,75,52,"Carry_s3star_Dr._Mundo, Carry_Volibear, Udyr, Sett, Vi, Naafiri, Gnar, Aatrox",5.60,0.0%,25.0%,0.1%
128,154,134,"Carry_g3star_Kayle, Carry_Dr._Mundo, Aatrox, Udyr, s3star_Zac, Naafiri, Sett, Vi",5.64,5.2%,25.4%,0.2%
129,122,45,"Carry_Yasuo, Carry_Volibear, Samira, Shen, Sett, Dr._Mundo, Gnar, Xayah",5.67,0.0%,24.4%,0.1%
130,9,200,"Carry_Vi, Carry_Ashe, Swain, Janna, Syndra, Dr._Mundo, Zyra, Udyr",5.68,14.0%,30.5%,0.2%
131,116,113,"Carry_Ryze, Carry_Volibear, JarvanIV, Kobuko, Udyr, Yasuo, Galio, Senna",5.69,0.9%,24.8%,0.1%
