match_id,puuid,riot_id,sub_cluster_id,main_cluster_id,carries,last_round
SG2_86990267,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,0,1,"Gwen,Samira,Sett,Viego",27
SG2_86990267,iPphvLmoJKoXX89lTrZJv625UHACKLLGoVR718JKm1ybfVlTAJf0JzLOAONFElYt0bJCVBL1XG5dfg,LessSweet#4805,-1,-1,"Aatrox,Dr._Mundo,Kog'Maw,Sett,Udyr,Vi",31
SG2_86990267,NMCz4OjHmyJTt0VY-tgBzJbM9uDSVnGDrJNkNmwzJOtfmzCUkanbPNxQhtM_1JBzAfjLLbvjuReicQ,kyousuke#sam,-1,-1,"Ahri,Gwen,Poppy,Seraphine,Yone",37
SG2_86990267,bLftiJZwVgQD4M4Vu6oLMVdF27kZkV92g-YBdr2gmmPnb0yXQjF9v8D36JVm8zjoBTTnyIhsCFS8EQ,FOOL#4943,-1,-1,"Akali,Gangplank,JarvanIV,Kai'Sa,Sett",27
SG2_86994113,FHZ2T14G25LWV2QR9lKCovQVVeGXwznQ4bsPp6rIltpynig-61R5ylnarA2bnge4EV0XupqUK3Aksw,มาแจก#66666,30,-1,NO_CARRIES,38
SG2_86994113,NiiSsgsoomKmNWrF8RGjukOGQrOvfRaV7jFF7vZZMiQf0YjZ2MR4UijevM3J-I_NrpB0vK6rspOmGA,RIGORMORTIFIED#real,30,-1,NO_CARRIES,38
SG2_86994113,LW7ph5SthfXIqi1s0QqdkOAr22-G6iy3uFkTCXgpluxKkZbOIgzWwCHRSw5ZVVp64bHYpLQ0gBtfYA,Shupmurperp#7521,30,-1,NO_CARRIES,35
SG2_86994113,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,30,-1,NO_CARRIES,28
SG2_86994113,r2xH9fNsv8G9oKVea74-5vU3dyOMDa4nwp3hcDNoECFKXzl3urofwgr4OprjjlocUfwe7Jza-BF6Ww,ilymoon#4546,30,-1,NO_CARRIES,26
SG2_86994113,16sjkLAZF1Z50sOI9ZIY1a350VVvZM0NnlvheoumiDqOUrmHkXN-orN3s9ZViISHDWaUpXWFg9aOqQ,BossSushi#SENNS,30,-1,NO_CARRIES,37
SG2_86994113,doxXt6a1YzfhCqHASE0rivZYF0qFpCd8xUb7Fw_2fSnhO_YEnWMNXOkNnhuBHWjs54LbqnuiRqWhgg,Jin 珍#KOREA,30,-1,NO_CARRIES,27
SG2_86994113,__X4BpQYlMaG3geRnHTxjzQgkOQap6SlnCfqeNkTDyjJlqBxfkXfFxtVe6ylZu8dh1RCVbbG7ZQ7Gg,Ecstasya#EUW,30,-1,NO_CARRIES,28
SG2_86982718,BuTHG2PkI0cygRfCWRdhH151ZpbrhOqJVhTZ694ZXhKWEzb1amD4Eu1e2GBWk3YOTFJCF6yjv5mbWQ,DrVegapunk#1111,47,7,"Braum,Sett,Smolder,Udyr",30
SG2_86982718,D04wSbzZjMQbAS0A5oKpHmmF5q9IgAV_jx_xnzjiVhg_V-48j2j0wTGC6ezhPd-woERZk14URiwnAQ,Anyujinn#IVE,48,21,"Ahri,Jinx,Poppy",26
SG2_86982718,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,49,94,"Braum,Malphite,Shen,Twisted_Fate,Ziggs",40
